"property_id","created_at","device_prop_name","property_value","property_obj","property_addr"
"629752c288c869f87c1161fd",2023-01-16 19:13:37.774 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-14 12:16:01.060 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-21 17:20:02.844 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-20 04:31:29.493 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-25 18:48:30.820 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-03 00:52:00.993 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-06 19:02:16.481 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-18 16:12:24.361 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 15:07:10.321 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-12 22:30:24.598 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 13:39:58.492 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-31 01:14:27.472 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 12:12:43.726 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 10:45:08.134 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-10 16:07:28.406 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-14 07:57:50.038 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-20 05:59:49.724 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-31 02:40:57.784 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-21 18:48:19.097 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 09:17:38.857 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-06 17:33:56.109 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-11 15:24:11.057 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-04 02:26:41.557 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 07:50:18.528 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-31 04:07:54.782 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 06:23:07.034 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 04:55:43.140 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-14 06:02:23.039 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-31 05:34:00.534 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-20 07:28:36.913 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-23 17:36:56.664 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-14 11:02:14.064 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-21 20:16:06.588 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-06 16:07:07.809 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 03:28:27.057 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-11 23:03:08.841 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 02:01:14.332 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-31 07:01:11.421 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-13 12:53:43.237 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 00:34:00.329 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
