"created_at","device_prop_name","property_value"
2022-10-01 07:14:36.590 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-01 07:14:36.608 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-01 07:14:36.627 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-10-01 07:14:37.092 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-01 07:14:38.279 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-01 07:14:39.206 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-10-01 07:14:57.717 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-10-02 18:52:43.241 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-10-02 18:52:43.320 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-02 18:52:43.345 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-10-02 18:52:43.378 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-02 18:52:43.763 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-02 18:52:44.723 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-10-02 18:53:04.824 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-10-02 20:20:20.540 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-10-02 20:20:21.097 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-02 20:20:21.862 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-10-02 20:20:22.756 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-02 20:20:23.856 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-02 20:20:24.812 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-10-02 20:20:44.906 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-10-02 20:26:59.398 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-10-02 20:26:59.931 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-02 20:27:00.668 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-10-02 20:27:01.667 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-02 20:27:02.771 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-02 20:27:03.735 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-10-02 20:27:23.501 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-10-02 21:54:34.064 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-02 21:54:34.636 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-02 21:54:35.381 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-10-02 21:54:36.302 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-02 21:54:37.536 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-02 21:54:38.370 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-10-02 21:55:00.979 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-10-02 23:22:15.985 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-02 23:22:16.526 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-02 23:22:17.351 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-10-02 23:22:18.233 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-02 23:22:19.401 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-02 23:22:20.404 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-10-02 23:22:40.288 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-10-03 00:49:46.680 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-03 00:49:47.238 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-03 00:49:48.026 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-10-03 00:49:48.921 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-03 00:49:50.049 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-03 00:49:50.963 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-10-03 00:50:10.799 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-10-03 02:17:20.167 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-03 02:17:20.461 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
