"created_at","device_prop_name","property_value","property_obj"
2022-08-31 07:47:23.482 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-06 21:05:32.157 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-21 04:51:14.707 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-02 04:45:24.428 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-11 14:29:33.318 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-20 16:20:20.119 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-01 11:53:49.974 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-21 03:50:15.504 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-04 05:08:49.690 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-23 22:37:51.356 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-14 10:23:35.251 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-15 00:34:29.642 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-15 15:27:12.450 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-18 18:43:10.935 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 20:52:42.943 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-30 10:41:56.896 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-30 04:24:19.700 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-17 20:53:52.651 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-28 13:41:27.476 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-04 16:07:46.314 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
